"","subject","trial_no","stimulus_no","stimulus_mode","response_mode","training","x_value","y_value","response_value","time","session"
"169",1,25,27,2,2,0,65,225,843,"11.62","test2"
"170",1,26,5,2,2,0,10,1600,1255,"09.04","test2"
"171",1,27,35,2,2,0,85,1225,1608,"05.97","test2"
"172",1,28,4,2,2,0,5,2025,1873,"18.72","test2"
"173",1,29,42,2,2,0,100,2500,1676,"24.53","test2"
"174",1,30,31,2,2,0,75,625,1549,"04.92","test2"
"175",1,31,11,2,2,0,25,625,1020,"06.38","test2"
"176",1,32,17,2,2,0,40,100,1049,"12.1","test2"
"177",1,33,25,2,2,0,60,100,343,"04.51","test2"
"178",1,34,29,2,2,0,70,400,647,"07.37","test2"
"179",1,35,9,2,2,0,20,900,1500,"09.36","test2"
"180",1,36,1,2,2,0,0,2500,2020,"06.68","test2"
"181",1,37,18,2,2,0,40,100,1471,"11.78","test2"
"182",1,38,6,2,2,0,10,1600,1637,"12.07","test2"
"183",1,39,21,2,2,0,50,0,392,"12.05","test2"
"184",1,40,26,2,2,0,60,100,725,"08.13","test2"
"185",1,41,36,2,2,0,85,1225,1020,"09.61","test2"
"186",1,42,10,2,2,0,20,900,1088,"09.94","test2"
"187",2,1,40,1,1,1,40,100,20,"09.64","training"
"188",2,2,48,1,1,1,45,25,110,"04.72","training"
"189",2,3,84,1,1,1,75,625,20,"03.87","training"
"190",2,4,44,1,1,1,45,25,20,"04.02","training"
"191",2,5,31,1,1,1,35,225,65,"06.89","training"
"192",2,6,53,1,1,1,50,0,200,"04.35","training"
"193",2,7,61,1,1,1,60,100,100,"08.43","training"
"194",2,8,66,1,1,1,60,100,100,"04.01","training"
"195",2,9,35,1,1,1,35,225,35,"23.34","training"
"196",2,10,63,1,1,1,60,100,100,"03.84","training"
"197",2,11,91,1,1,1,85,1225,285,"07.03","training"
"198",2,12,24,1,1,1,25,625,110,"07.7","training"
"199",2,13,33,1,1,1,35,225,225,"09.84","training"
"200",2,14,12,1,1,1,15,1225,65,"12.5","training"
"201",2,15,88,1,1,1,80,900,1200,"04.18","training"
"202",2,16,10,1,1,1,15,1225,625,"10.91","training"
"203",2,17,42,1,1,1,40,100,25,"10.6","training"
"204",2,18,83,1,1,1,75,625,625,"11.62","training"
"205",2,19,67,1,1,1,65,225,325,"05.78","training"
"206",2,20,20,1,1,1,25,625,1225,"18.56","training"
"207",2,21,82,1,1,1,75,625,625,"04.7","training"
"208",2,22,2,1,1,1,10,1600,1225,"05.53","training"
"209",2,23,15,1,1,1,20,900,600,"12.8","training"
"210",2,24,65,1,1,1,60,100,700,"06.82","training"
"211",2,25,99,1,1,1,90,1600,1225,"06.82","training"
"212",2,26,64,1,1,1,60,100,100,"04.16","training"
"213",2,27,32,1,1,1,35,225,225,"04.25","training"
"214",2,28,50,1,1,1,50,0,0,"04.1","training"
"215",2,29,38,1,1,1,40,100,100,"06.82","training"
"216",2,30,72,1,1,1,65,225,225,"07.13","training"
"217",2,31,90,1,1,1,80,900,625,"03.99","training"
"218",2,32,27,1,1,1,30,400,625,"09.43","training"
"219",2,33,49,1,1,1,50,0,0,"02.71","training"
"220",2,34,81,1,1,1,75,625,625,"07.94","training"
"221",2,35,3,1,1,1,10,1600,1600,"07.8","training"
"222",2,36,85,1,1,1,80,900,1600,"04.79","training"
"223",2,37,74,1,1,1,70,400,600,"07.92","training"
"224",2,38,19,1,1,1,25,625,625,"07.41","training"
"225",2,39,36,1,1,1,35,225,400,"09.52","training"
"226",2,40,46,1,1,1,45,25,125,"11.65","training"
"227",2,41,5,1,1,1,10,1600,1600,"03.85","training"
"228",2,42,18,1,1,1,20,900,1225,"06.86","training"
"229",2,43,98,1,1,1,90,1600,1600,"05.78","training"
"230",2,44,54,1,1,1,50,0,0,"02.29","training"
"231",2,45,71,1,1,1,65,225,125,"16.29","training"
"232",2,46,86,1,1,1,80,900,900,"08.75","training"
"233",2,47,69,1,1,1,65,225,225,"04.66","training"
"234",2,48,87,1,1,1,80,900,900,"02.93","training"
"235",2,49,94,1,1,1,85,1225,1225,"03.93","training"
"236",2,50,59,1,1,1,55,25,25,"08.77","training"
"237",2,51,75,1,1,1,70,400,600,"11.8","training"
"238",2,52,92,1,1,1,85,1225,1225,"04.15","training"
"239",2,53,13,1,1,1,20,900,900,"08.05","training"
"240",2,54,1,1,1,1,10,1600,1600,"07.86","training"
"241",2,55,39,1,1,1,40,100,400,"04.74","training"
"242",2,56,102,1,1,1,90,1600,1600,"04.46","training"
"243",2,57,96,1,1,1,85,1225,1225,"05.47","training"
"244",2,58,30,1,1,1,30,400,400,"03.78","training"
"245",2,59,57,1,1,1,55,25,25,"03.27","training"
"246",2,60,80,1,1,1,75,625,225,"07.42","training"
"247",2,61,14,1,1,1,20,900,900,"11.95","training"
"248",2,62,47,1,1,1,45,25,25,"10.09","training"
"249",2,63,52,1,1,1,50,0,0,"02.35","training"
"250",2,64,100,1,1,1,90,1600,1600,"03.59","training"
"251",2,65,79,1,1,1,75,625,625,"05.65","training"
"252",2,66,8,1,1,1,15,1225,1225,"04.9","training"
"253",2,67,28,1,1,1,30,400,400,"09.52","training"
"254",2,68,6,1,1,1,10,1600,1600,"03.39","training"
"255",2,69,4,1,1,1,10,1600,1600,"04.36","training"
"256",2,70,34,1,1,1,35,225,625,"05.78","training"
"257",2,71,17,1,1,1,20,900,900,"03.51","training"
"258",2,72,45,1,1,1,45,25,25,"03.15","training"
"259",2,73,51,1,1,1,50,0,0,"02.84","training"
"260",2,74,89,1,1,1,80,900,900,"03.83","training"
"261",2,75,22,1,1,1,25,625,625,"04.85","training"
"262",2,76,76,1,1,1,70,400,600,"04.29","training"
"263",2,77,78,1,1,1,70,400,400,"03.12","training"
"264",2,78,62,1,1,1,60,100,100,"08.26","training"
"265",2,79,11,1,1,1,15,1225,1225,"04.1","training"
"266",2,80,70,1,1,1,65,225,125,"05.53","training"
"267",2,81,97,1,1,1,90,1600,1600,"03.15","training"
"268",2,82,29,1,1,1,30,400,900,"03.17","training"
"269",2,83,25,1,1,1,30,400,400,"02.97","training"
"270",2,84,77,1,1,1,70,400,400,"03.13","training"
"271",2,85,9,1,1,1,15,1225,1225,"02.9","training"
"272",2,86,43,1,1,1,45,25,25,"02.66","training"
"273",2,87,95,1,1,1,85,1225,1225,"03.64","training"
"274",2,88,21,1,1,1,25,625,625,"09.39","training"
"275",2,89,68,1,1,1,65,225,225,"06.21","training"
"276",2,90,16,1,1,1,20,900,900,"05.6","training"
"277",2,91,58,1,1,1,55,25,25,"04.83","training"
"278",2,92,41,1,1,1,40,100,100,"03.67","training"
"279",2,93,7,1,1,1,15,1225,1225,"02.7","training"
"280",2,94,60,1,1,1,55,25,25,"03.51","training"
"281",2,95,93,1,1,1,85,1225,1225,"04.62","training"
"282",2,96,37,1,1,1,40,100,100,"04.44","training"
"283",2,97,23,1,1,1,25,625,625,"04.26","training"
"284",2,98,56,1,1,1,55,25,25,"02.38","training"
"285",2,99,73,1,1,1,70,400,400,"04.47","training"
"286",2,100,101,1,1,1,90,1600,1600,"03.24","training"
"287",2,101,55,1,1,1,55,25,25,"02.91","training"
"288",2,102,26,1,1,1,30,400,400,"03.28","training"
"289",2,1,36,1,1,1,85,1225,1225,"07.04","test1"
"290",2,2,3,1,1,1,5,2025,1625,"07.38","test1"
"291",2,3,11,1,1,1,25,625,625,"34.38","test1"
"292",2,4,24,1,1,1,55,25,25,"02.71","test1"
"293",2,5,25,1,1,1,60,100,100,"03.09","test1"
"294",2,6,6,1,1,1,10,1600,1600,"03.79","test1"
"295",2,7,35,1,1,1,85,1225,1225,"03.81","test1"
"296",2,8,18,1,1,1,40,100,100,"02.85","test1"
"297",2,9,5,1,1,1,10,1600,1600,"03.58","test1"
"298",2,10,16,1,1,1,35,225,625,"06.77","test1"
"299",2,11,19,1,1,1,45,25,25,"03.87","test1"
"300",2,12,38,1,1,1,90,1600,1600,"03.67","test1"
"301",2,13,40,1,1,1,95,2025,2025,"06.","test1"
"302",2,14,14,1,1,1,30,400,600,"04.02","test1"
"303",2,15,27,1,1,1,65,225,225,"05.89","test1"
"304",2,16,10,1,1,1,20,900,900,"08.47","test1"
"305",2,17,2,1,1,1,0,2500,2400,"16.14","test1"
"306",2,18,37,1,1,1,90,1600,1600,"04.38","test1"
"307",2,19,31,1,1,1,75,625,625,"06.32","test1"
"308",2,20,28,1,1,1,65,225,225,"03.06","test1"
"309",2,21,30,1,1,1,70,400,600,"07.52","test1"
"310",2,22,39,1,1,1,95,2025,2025,"09.66","test1"
"311",2,23,13,1,1,1,30,400,400,"05.85","test1"
"312",2,24,41,1,1,1,100,2500,2100,"08.48","test1"
"313",2,25,23,1,1,1,55,25,25,"03.83","test1"
"314",2,26,4,1,1,1,5,2025,1625,"10.56","test1"
"315",2,27,26,1,1,1,60,100,100,"03.75","test1"
"316",2,28,33,1,1,1,80,900,900,"08.82","test1"
"317",2,29,9,1,1,1,20,900,900,"03.06","test1"
"318",2,30,29,1,1,1,70,400,400,"05.","test1"
"319",2,31,20,1,1,1,45,25,625,"10.49","test1"
"320",2,32,42,1,1,1,100,2500,0,"03.47","test1"
"321",2,33,12,1,1,1,25,625,625,"09.75","test1"
"322",2,34,21,1,1,1,50,0,0,"03.84","test1"
"323",2,35,15,1,1,1,35,225,225,"04.94","test1"
"324",2,36,17,1,1,1,40,100,100,"02.78","test1"
"325",2,37,1,1,1,1,0,2500,100,"18.64","test1"
"326",2,38,7,1,1,1,15,1225,1225,"04.56","test1"
"327",2,39,8,1,1,1,15,1225,1225,"04.1","test1"
"328",2,40,22,1,1,1,50,0,0,"02.86","test1"
"329",2,41,34,1,1,1,80,900,900,"03.58","test1"
"330",2,42,32,1,1,1,75,625,625,"04.18","test1"
"331",2,1,5,1,1,0,10,1600,1600,"30.","test2"
"332",2,2,30,1,1,0,70,400,400,"17.62","test2"
"333",2,3,2,1,1,0,0,2500,2500,"04.05","test2"
"334",2,4,34,1,1,0,80,900,900,"10.6","test2"
"335",2,5,21,1,1,0,50,0,0,"08.64","test2"
"336",2,6,41,1,1,0,100,2500,2500,"07.77","test2"
"337",2,7,20,1,1,0,45,25,100,"04.79","test2"
"338",2,8,6,1,1,0,10,1600,1600,"04.7","test2"
"339",2,9,32,1,1,0,75,625,625,"05.49","test2"
"340",2,10,19,1,1,0,45,25,25,"08.1","test2"
"341",2,11,23,1,1,0,55,25,25,"02.33","test2"
"342",2,12,26,1,1,0,60,100,100,"10.67","test2"
"343",2,13,16,1,1,0,35,225,225,"07.89","test2"
"344",2,14,15,1,1,0,35,225,225,"03.56","test2"
"345",2,15,10,1,1,0,20,900,900,"16.17","test2"
"346",2,16,27,1,1,0,65,225,225,"12.13","test2"
"347",2,17,17,1,1,0,40,100,100,"03.38","test2"
"348",2,18,38,1,1,0,90,1600,1600,"06.36","test2"
"349",2,19,35,1,1,0,85,1225,1225,"04.49","test2"
"350",2,20,24,1,1,0,55,25,25,"03.18","test2"
"351",2,21,25,1,1,0,60,100,100,"04.03","test2"
"352",2,22,39,1,1,0,95,2025,1625,"20.14","test2"
"353",2,23,4,1,1,0,5,2025,2225,"22.31","test2"
"354",2,24,29,1,1,0,70,400,400,"04.24","test2"
"355",2,25,33,1,1,0,80,900,900,"05.89","test2"
"356",2,26,37,1,1,0,90,1600,1600,"10.9","test2"
"357",2,27,3,1,1,0,5,2025,2225,"10.51","test2"
"358",2,28,1,1,1,0,0,2500,2500,"05.21","test2"
"359",2,29,14,1,1,0,30,400,400,"04.89","test2"
"360",2,30,42,1,1,0,100,2500,2500,"05.39","test2"
"361",2,31,40,1,1,0,95,2025,2225,"04.26","test2"
"362",2,32,22,1,1,0,50,0,0,"03.2","test2"
"363",2,33,28,1,1,0,65,225,225,"13.54","test2"
"364",2,34,11,1,1,0,25,625,625,"19.66","test2"
"365",2,35,9,1,1,0,20,900,900,"06.05","test2"
"366",2,36,13,1,1,0,30,400,400,"03.89","test2"
"367",2,37,7,1,1,0,15,1225,1225,"05.97","test2"
"368",2,38,31,1,1,0,75,625,625,"07.1","test2"
"369",2,39,12,1,1,0,25,625,1225,"15.39","test2"
"370",2,40,36,1,1,0,85,1225,1225,"18.57","test2"
"371",2,41,8,1,1,0,15,1225,1225,"09.24","test2"
"372",2,42,18,1,1,0,40,100,100,"05.85","test2"
"373",3,1,20,1,2,1,25,625,1314,"32.19","training"
"374",3,2,45,1,2,1,45,25,1284,"02.98","training"
"375",3,3,83,1,2,1,75,625,2206,"10.98","training"
"376",3,4,87,1,2,1,80,900,902,"08.44","training"
"377",3,5,95,1,2,1,85,1225,892,"02.3","training"
"378",3,6,102,1,2,1,90,1600,1157,"03.8","training"
"379",3,7,2,1,2,1,10,1600,2412,"07.92","training"
"380",3,8,77,1,2,1,70,400,225,"06.02","training"
"381",3,9,92,1,2,1,85,1225,1157,"08.1","training"
"382",3,10,35,1,2,1,35,225,539,"08.2","training"
"383",3,11,61,1,2,1,60,100,510,"11.23","training"
"384",3,12,52,1,2,1,50,0,127,"02.43","training"
"385",3,13,40,1,2,1,40,100,29,"04.07","training"
"386",3,14,85,1,2,1,80,900,422,"11.62","training"
"387",3,15,27,1,2,1,30,400,20,"02.7","training"
"388",3,16,54,1,2,1,50,0,157,"13.27","training"
"389",3,17,47,1,2,1,45,25,235,"03.47","training"
"390",3,18,70,1,2,1,65,225,235,"03.94","training"
"391",3,19,42,1,2,1,40,100,49,"02.32","training"
"392",3,20,43,1,2,1,45,25,108,"02.13","training"
"393",3,21,81,1,2,1,75,625,804,"04.01","training"
"394",3,22,38,1,2,1,40,100,0,"05.37","training"
"395",3,23,19,1,2,1,25,625,20,"03.29","training"
"396",3,24,59,1,2,1,55,25,235,"04.87","training"
"397",3,25,29,1,2,1,30,400,20,"05.32","training"
"398",3,26,36,1,2,1,35,225,363,"05.69","training"
"399",3,27,8,1,2,1,15,1225,78,"02.74","training"
"400",3,28,60,1,2,1,55,25,353,"09.44","training"
"401",3,29,32,1,2,1,35,225,471,"02.34","training"
"402",3,30,24,1,2,1,25,625,59,"03.11","training"
"403",3,31,16,1,2,1,20,900,284,"02.24","training"
"404",3,32,41,1,2,1,40,100,108,"04.16","training"
"405",3,33,11,1,2,1,15,1225,1951,"03.69","training"
"406",3,34,48,1,2,1,45,25,59,"05.61","training"
"407",3,35,3,1,2,1,10,1600,2431,"02.79","training"
"408",3,36,37,1,2,1,40,100,157,"03.57","training"
"409",3,37,53,1,2,1,50,0,294,"06.46","training"
"410",3,38,5,1,2,1,10,1600,1696,"03.95","training"
"411",3,39,9,1,2,1,15,1225,1902,"02.03","training"
"412",3,40,1,1,2,1,10,1600,1725,"02.66","training"
"413",3,41,49,1,2,1,50,0,20,"05.26","training"
"414",3,42,33,1,2,1,35,225,480,"02.76","training"
"415",3,43,84,1,2,1,75,625,745,"04.48","training"
"416",3,44,64,1,2,1,60,100,373,"04.97","training"
"417",3,45,57,1,2,1,55,25,127,"05.44","training"
"418",3,46,51,1,2,1,50,0,49,"01.71","training"
"419",3,47,4,1,2,1,10,1600,1608,"02.42","training"
"420",3,48,78,1,2,1,70,400,637,"05.92","training"
"421",3,49,96,1,2,1,85,1225,833,"05.54","training"
"422",3,50,99,1,2,1,90,1600,1098,"02.72","training"
"423",3,51,74,1,2,1,70,400,725,"03.03","training"
"424",3,52,68,1,2,1,65,225,412,"01.99","training"
"425",3,53,100,1,2,1,90,1600,2294,"04.48","training"
"426",3,54,62,1,2,1,60,100,549,"02.34","training"
"427",3,55,75,1,2,1,70,400,412,"03.52","training"
"428",3,56,91,1,2,1,85,1225,1725,"04.99","training"
"429",3,57,101,1,2,1,90,1600,1657,"03.48","training"
"430",3,58,82,1,2,1,75,625,441,"03.37","training"
"431",3,59,89,1,2,1,80,900,775,"02.33","training"
"432",3,60,22,1,2,1,25,625,1431,"03.91","training"
"433",3,61,6,1,2,1,10,1600,1284,"03.3","training"
"434",3,62,15,1,2,1,20,900,1549,"03.16","training"
"435",3,63,46,1,2,1,45,25,39,"04.18","training"
"436",3,64,12,1,2,1,15,1225,1500,"03.04","training"
"437",3,65,30,1,2,1,30,400,304,"04.","training"
"438",3,66,13,1,2,1,20,900,1412,"04.67","training"
"439",3,67,72,1,2,1,65,225,412,"05.3","training"
"440",3,68,23,1,2,1,25,625,1186,"03.8","training"
"441",3,69,71,1,2,1,65,225,314,"07.87","training"
"442",3,70,56,1,2,1,55,25,245,"02.91","training"
"443",3,71,21,1,2,1,25,625,1118,"04.83","training"
"444",3,72,31,1,2,1,35,225,353,"02.82","training"
"445",3,73,26,1,2,1,30,400,480,"02.15","training"
"446",3,74,80,1,2,1,75,625,324,"03.35","training"
"447",3,75,14,1,2,1,20,900,1235,"05.55","training"
"448",3,76,10,1,2,1,15,1225,1333,"07.66","training"
"449",3,77,88,1,2,1,80,900,1373,"05.62","training"
"450",3,78,44,1,2,1,45,25,0,"04.11","training"
"451",3,79,98,1,2,1,90,1600,1725,"03.51","training"
"452",3,80,7,1,2,1,15,1225,1137,"04.34","training"
"453",3,81,97,1,2,1,90,1600,1765,"02.69","training"
"454",3,82,65,1,2,1,60,100,618,"05.22","training"
"455",3,83,93,1,2,1,85,1225,1461,"05.91","training"
"456",3,84,58,1,2,1,55,25,529,"08.18","training"
"457",3,85,69,1,2,1,65,225,353,"09.34","training"
"458",3,86,67,1,2,1,65,225,206,"04.1","training"
"459",3,87,17,1,2,1,20,900,676,"03.14","training"
"460",3,88,79,1,2,1,75,625,569,"06.53","training"
"461",3,89,63,1,2,1,60,100,353,"05.24","training"
